y,x,street_count,highway,geometry
-34.9112417,-57.9683776,4,traffic_signals,POINT (-57.9683776 -34.9112417)
-34.9113321,-57.9682554,4,traffic_signals,POINT (-57.9682554 -34.9113321)
-34.9112585,-57.9681744,4,traffic_signals,POINT (-57.9681744 -34.9112585)
-34.9103376,-57.9671613,4,,POINT (-57.9671613 -34.9103376)
-34.9094184,-57.9661501,4,,POINT (-57.9661501 -34.9094184)
-34.9084756,-57.9651127,4,,POINT (-57.9651127 -34.9084756)
-34.9075536,-57.9640985,4,,POINT (-57.9640985 -34.9075536)
-34.9066257,-57.9630777,4,,POINT (-57.9630777 -34.9066257)
-34.9061291,-57.9625314,3,,POINT (-57.9625314 -34.9061291)
-34.9064247,-57.9620645,3,,POINT (-57.9620645 -34.9064247)
-34.9060682,-57.9616,4,traffic_signals,POINT (-57.9616 -34.9060682)
-34.9065456,-57.9609547,4,traffic_signals,POINT (-57.9609547 -34.9065456)
-34.9073807,-57.9598259,4,traffic_signals,POINT (-57.9598259 -34.9073807)
-34.9082053,-57.9587114,4,traffic_signals,POINT (-57.9587114 -34.9082053)
-34.9090403,-57.9575827,4,traffic_signals,POINT (-57.9575827 -34.9090403)
-34.9098742,-57.9564556,4,traffic_signals,POINT (-57.9564556 -34.9098742)
-34.9101922,-57.9560258,3,,POINT (-57.9560258 -34.9101922)
-34.9109136,-57.956206,3,,POINT (-57.956206 -34.9109136)
-34.9112335,-57.9559705,3,,POINT (-57.9559705 -34.9112335)
